time_s,radius_cm,comsol_T_C,baseline_T_C,delta_T_C,comsol_C,baseline_C,delta_C
100,0.0,28.00004919918382,28.000064364130246,-1.5164946425727521e-05,2.55,2.55,0.0
100,0.5,28.000322497867344,28.00037226202365,-4.976415630508768e-05,2.550000000000001,2.5499999999999994,1.7763568394002505e-15
100,1.0,28.003850204730522,28.004060309765627,-0.00021010503510510148,2.55,2.55,0.0
100,1.5,28.0318743736828,28.032408112473085,-0.0005337387902848434,2.5499999408413117,2.5499999005119838,4.032932787723098e-08
100,2.0,28.179501448843144,28.180158254960393,-0.0006568061172487205,2.247025115174202,2.2475177437998335,-0.000492628625631486
300,0.0,28.040605314924246,28.041380768004252,-0.0007754530800063719,2.55,2.55,0.0
300,0.5,28.063379475348334,28.06417487626097,-0.0007954009126365236,2.5500000000000003,2.5499999999999994,8.881784197001252e-16
300,1.0,28.15150024245206,28.15216823773938,-0.0006679952873227535,2.549999998535462,2.5499999980749797,4.6048231894246783e-10
300,1.5,28.36744724818456,28.368280262957352,-0.0008330147727910742,2.549200252002701,2.5491683320400407,3.191996266016517e-05
300,2.0,28.847914954757577,28.84949651437411,-0.0015815596165325019,2.0508408914934275,2.0511259020701056,-0.0002850105766780686
600,0.0,28.45343076605954,28.454949436657518,-0.0015186705979779447,2.5499999999999994,2.55,-4.440892098500626e-16
600,0.5,28.536145592379775,28.537653146193794,-0.0015075538140187916,2.5499999997689686,2.549999999641089,1.2787948477921418e-10
600,1.0,28.804014901350595,28.805329071909597,-0.0013141705590022923,2.5499885852519726,2.5499874697170046,1.115534967954801e-06
600,1.5,29.31571065884086,29.31675744022654,-0.0010467813856784858,2.5352764599846247,2.5352127295975135,6.373038711116052e-05
600,2.0,30.16413292765768,30.16500803297979,-0.000875105322112546,1.8769621433936439,1.8771722340280506,-0.00021009063440668996
900,0.0,29.324292014407053,29.326209098406043,-0.0019170839989897104,2.5499999999409906,2.549999999907643,3.33475469460609e-11
900,0.5,29.45829801790141,29.460219512534913,-0.001921494633503329,2.5499997953991955,2.5499997585831133,3.6816082182866694e-08
900,1.0,29.8757019063856,29.877361492684678,-0.0016595862990769206,2.549683888923268,2.549674446664165,9.442259102598882e-06
900,1.5,30.616348183774644,30.61766385140072,-0.001315667626077044,2.50454364806267,2.5045018394329466,4.1808629723583124e-05
900,2.0,31.729607445979177,31.73046511908451,-0.0008576731053331343,1.754713235588552,1.7548861528806514,-0.0001729172920994504
1200,0.0,30.542653659290032,30.544706243909413,-0.0020525846193812924,2.549999980032378,2.5499999755320557,4.500322337008811e-09
1200,0.5,30.70964819091377,30.71176806796523,-0.00211987705145944,2.5499929685770577,2.5499924333116963,5.352653613677205e-07
1200,1.0,31.222204570795647,31.224138694839965,-0.0019341240443182528,2.5481803885297314,2.5481573439131022,2.304461662916424e-05
1200,1.5,32.112616309032035,32.11432379984966,-0.00170749081762267,2.464569578496372,2.4645544507829857,1.512771338640917e-05
1200,2.0,33.429040141368766,33.43041888429293,-0.0013787429241673976,1.6585555949692499,1.658706465057389,-0.00015087008813918779
1500,0.0,31.99553255219406,31.997622638221156,-0.0020900860270955945,2.5499993028223447,2.5499992259217605,7.690058412279654e-08
1500,0.5,32.18655932615606,32.1887221206585,-0.0021627945024391693,2.549937736306953,2.549935279454644,2.4568523091517136e-06
1500,1.0,32.76602372443934,32.76806828448634,-0.002044560046996935,2.544541618691197,2.5445060579839898,3.556070720733828e-05
1500,1.5,33.746811670583796,33.74857532546487,-0.001763654881074217,2.4206115039200835,2.420617723835123,-6.21991503946262e-06
1500,2.0,35.121416710138604,35.121778191345335,-0.00036148120673118456,1.5787192381402115,1.578854565696186,-0.00013532755597456259
1800,0.0,33.57514714039127,33.57701480922971,-0.0018676688384360318,2.5499923704541536,2.5499918829928143,4.874613392935601e-07
1800,0.5,33.77166731597992,33.77362689956916,-0.00195958358924031,2.5497237490483085,2.549717223609927,6.525438381643767e-06
1800,1.0,34.36346918049735,34.365371639298374,-0.0019024588010267962,2.5383006399416383,2.5382564635686315,4.4176373006799e-05
1800,1.5,35.36149511283901,35.36311128145854,-0.0016161686195346192,2.3754707638080164,2.375493244185174,-2.2480377157574338e-05
1800,2.0,36.78443720651566,36.78648464621063,-0.002047439694969455,1.510231220780687,1.5103538609537452,-0.0001226401730582971
